"sample","chromosome","start","end","length_bp","n_markers","quality"
"Y31F-1",7,26908154,42277007,15368854,288,75.1
"Y31F-1",7,51251243,66590484,15339242,319,81.3
"Y31F-1",7,139778983,142413194,2634212,185,74
"Y32F-1",7,131508859,132458871,950013,92,60.7
"Y32F-1",7,137523393,142413194,4889802,369,92.5
"E10F-1",8,17711166,23143681,5432516,302,75.2
"E10F-1",8,59478114,67617180,8139067,177,46.4
"E10F-1",8,74065725,79387278,5321554,111,43.3
"E10F-1",8,94284549,117968369,23683821,475,81.5
"E10F-1",8,147789669,162732805,14943137,327,66.3
"E10F-1",8,176600864,187235397,10634534,176,48.3
"E10F-1",8,213269985,219558942,6288958,273,72
"E13M-1",8,131480568,142594442,11113875,177,61.7
"E13M-1",8,191102325,194917820,3815496,108,43.4
"E13M-1",8,207967500,210484580,2517081,111,36.1
"E13M-1",8,221172001,222360509,1188509,48,49.6
"E14F-1",8,69111,2702515,2633405,220,71.4
"E14F-1",8,13249078,16919999,3670922,283,81.3
"E14F-1",8,29053390,44037878,14984489,320,83.5
"E14F-1",8,207242035,211521177,4279143,194,58.6
"E18F-1",8,115311942,146740103,31428162,660,86.7
"E18F-1",8,164236494,191363111,27126618,434,72.3
"E19M-2A",8,7089030,8835667,1746638,110,67.3
"E19M-2A",8,13214662,14715825,1501164,128,63.9
"E19M-2A",8,216692966,222360509,5667544,347,94.7
"E24M-1",8,13339910,15396664,2056755,154,64.5
"E24M-1",8,28215871,30455524,2239654,102,50.1
"E24M-1",8,83439975,89418619,5978645,146,56.6
"E24M-1",8,98533992,116993936,18459945,362,65.9
"E24M-1",8,130045075,142594442,12549368,204,65.2
"E24M-1",8,155626848,190878127,35251280,617,91.8
"E24M-1",8,193291620,201850018,8558399,168,41.9
"E24M-1",8,208636830,217842968,9206139,318,71.9
"E24M-1",8,220154563,221203331,1048769,107,47.7
"E25F-1",8,17711166,19227057,1515892,119,40.9
"E25F-1",8,27690474,33652511,5962038,204,75.2
"E25F-1",8,68863239,74219443,5356205,188,58.9
"E25F-1",8,103778839,118880749,15101911,278,65.2
"E25F-1",8,212585572,216523966,3938395,105,38.1
"E27M-1",8,81062361,95566352,14503992,309,73.8
"E27M-1",8,99604459,119318417,19713959,344,69.5
"E27M-1",8,126203150,142594442,16391293,229,81.9
"E27M-1",8,191769588,201357853,9588266,183,70.2
"E28F-1",8,69111,1822310,1753200,115,34.3
"E28F-1",8,22507533,28652281,6144749,211,55
"E28F-1",8,93141564,102928190,9786627,246,58.2
"E28F-1",8,202798324,207107764,4309441,194,67.7
"E29M-1",8,69111,1822310,1753200,123,39.3
"E29M-1",8,17951103,25058461,7107359,338,82.3
"E29M-1",8,202798324,207107764,4309441,208,70.2
"E30M-1",8,69111,1822310,1753200,117,35.5
"E30M-1",8,2601182,3475729,874548,113,30.4
"E30M-1",8,5668187,6684545,1016359,95,44
"E30M-1",8,22745895,27470110,4724216,151,50.9
"E30M-1",8,155639698,170646022,15006325,285,59.2
"E30M-1",8,188770218,199617268,10847051,235,59.5
"E31M-2",8,1778002,3554180,1776179,209,75.1
"E31M-2",8,74065725,96423811,22358087,517,89.5
"E31M-2",8,103778839,119612360,15833522,323,75.5
"E31M-2",8,191092646,201850018,10757373,248,49.4
"E31M-2",8,211264479,217842968,6578490,238,56.9
"E31M-2",8,220154563,221591093,1436531,144,70.3
"E32M-1",8,5622714,6684545,1061832,101,40.8
"E32M-1",8,47768665,55940330,8171666,242,76.1
"E32M-1",8,71617019,93023892,21406874,513,85.4
"E32M-1",8,179829312,199617268,19787957,344,74.5
"E32M-1",8,203054542,207012941,3958400,186,67.3
"E33M-1",8,156041,3338839,3182799,193,80.4
"E33M-1",8,190069580,194823106,4753527,111,49.2
"E33M-1",8,218985724,221253244,2267521,146,71.3
"E34M-2A",8,18605579,22392689,3787111,189,69.9
"E34M-2A",8,33652511,44037878,10385368,189,36.1
"E34M-2A",8,103778839,119612360,15833522,316,74.3
"E34M-2A",8,212585572,222360509,9774938,506,92.7
"E35M-2A",8,94284549,100398270,6113722,173,51
"E35M-2A",8,177480768,191363111,13882344,219,47.8
"E37F-1",8,69111,1822310,1753200,126,42.9
"E37F-1",8,7339616,18723734,11384119,954,96.3
"E37F-1",8,22507533,28652281,6144749,231,64.5
"E37F-1",8,156008067,164514196,8506130,186,47.8
"E37F-1",8,176600864,187235397,10634534,174,48.6
"E37F-1",8,206392364,222266969,15874606,775,94.3
"LAO01M-2A",8,28981897,45614079,16632183,372,71.1
"LAO01M-2A",8,211697576,216643581,4946006,145,56.5
"LAO01M-2A",8,220556451,222360509,1804059,117,73.7
"LAO03M-1",8,28300127,45614079,17313953,404,76.1
"LAO03M-1",8,73717339,98939108,25221770,588,89.2
"LAO03M-1",8,134325587,144315282,9989696,153,46
"LAO03M-1",8,220556451,222360509,1804059,110,71.9
"LAO06M-2A",8,6236105,11071794,4835690,419,90.2
"LAO06M-2A",8,12298082,16080804,3782723,349,84.7
"LAO06M-2A",8,29250077,46076594,16826518,372,76
"LAO06M-2A",8,48087189,71997287,23910099,608,85.8
"LAO06M-2A",8,103778839,147721582,43942744,895,89.2
"LAO06M-2A",8,220556451,222360509,1804059,113,72.9
"LO01F-1",8,6572831,8262087,1689257,117,52.5
"LO01F-1",8,103687917,113843789,10155873,144,50.5
"LO01F-1",8,177480768,191363111,13882344,223,44.8
"LO03M-1",8,45356222,49707697,4351476,157,46
"LO03M-1",8,67449675,74549435,7099761,260,69.2
"LO03M-1",8,115311942,147636122,32324181,690,87.1
"LO03M-1",8,169393555,181711530,12317976,216,53.7
"LO03M-1",8,213423243,217887747,4464505,168,39.2
"LO04M-1",8,69111,2735768,2666658,224,85
"LO04M-1",8,11098698,94529684,83430987,2676,96
"LO04M-1",8,97355607,147721582,50365976,1043,92.2
"LO04M-1",8,198603761,207107764,8504004,358,74.8
"LO04M-1",8,215352358,222360509,7008152,431,89.6
"OF289-2",8,17404516,19099087,1694572,143,52.5
"OF289-2",8,29069140,45614079,16544940,357,70.2
"OF289-2",8,134331789,144315282,9983494,154,51.5
"OF289-2",8,198255009,207107764,8852756,355,69.7
"OF289-2",8,215352358,222360509,7008152,427,87
"OF304-1A",8,69111,2840036,2770926,246,85.6
"OF304-1A",8,28981897,45614079,16632183,364,70.1
"OF304-1A",8,105685638,131300189,25614552,556,81.6
"OF304-1A",8,220556451,222266969,1710519,108,71.7
"OM258-2",8,69111,1563687,1494577,90,36.2
"OM258-2",8,29417250,46065597,16648348,312,60
"OM258-2",8,53448836,71642344,18193509,360,65.2
"OM258-2",8,94135323,128932510,34797188,676,88.3
"OM258-2",8,145290581,153588716,8298136,157,70.6
"OM258-2",8,215352358,219196199,3843842,175,59
"OM270-2",8,3261130,5738696,2477567,226,80
"OM270-2",8,22867373,28279180,5411808,174,57.8
"OM270-2",8,29250077,46076594,16826518,362,75.2
"OM270-2",8,48087189,71997287,23910099,577,81.9
"OM270-2",8,134325587,144315282,9989696,144,55.7
"OM270-2",8,164589531,191856779,27267249,397,71.2
"OM270-2",8,220556451,222360509,1804059,112,72.3
"OM274-3B",8,53448836,71997287,18548452,437,77.7
"OM274-3B",8,164437164,201357853,36920690,632,79.2
"OM276-1",8,13181243,15396664,2215422,179,74.9
"OM276-1",8,29417250,41238814,11821565,245,53.3
"OM276-1",8,53448836,71642344,18193509,420,74.5
"OM276-1",8,94148107,129579525,35431419,799,88.9
"OM276-1",8,193291620,198388016,5096397,101,40.5
"OM276-1",8,207161063,211618727,4457665,211,63.9
"OM276-1",8,215352358,219196199,3843842,212,70
"OM279-1",8,9115970,18297688,9181719,728,93
"OM279-1",8,29417250,47954668,18537419,410,81
"OM279-1",8,55888283,144726409,88838127,1864,93.6
"OM279-1",8,147986307,153588716,5602410,117,48.2
"OM279-1",8,193291620,198388016,5096397,94,35.8
"OM279-1",8,207161063,212978940,5817878,229,68.7
"OM279-1",8,213423243,219997421,6574179,283,74.2
"OM283-2",8,4186478,7813555,3627078,265,82.6
"OM283-2",8,29417250,45614079,16196830,351,68
"OM283-2",8,76410822,90338004,13927183,299,76.7
"OM283-2",8,144950562,153588716,8638155,200,76.6
"OM283-2",8,189128159,197151890,8023732,184,61.6
"OM283-2",8,211496277,217007361,5511085,172,39.6
"OM290-2",8,22781845,28279180,5497336,183,57.5
"OM290-2",8,53461641,71145735,17684095,389,68.4
"OM290-2",8,74065725,87257580,13191856,295,82.4
"OM290-2",8,139720434,147832415,8111982,149,73.3
"OM292-2",8,12120835,13037896,917062,114,44.5
"OM292-2",8,29417250,45225723,15808474,321,67.4
"OM292-2",8,54790766,71642344,16851579,343,63.8
"OM292-2",8,74065725,87257580,13191856,285,82.4
"OM292-2",8,148017094,157417385,9400292,199,65.1
"OM301-1A",8,22781845,28279180,5497336,172,45.7
"OM301-1A",8,28981897,45728397,16746501,367,70.6
"OM301-1A",8,48087189,71997287,23910099,584,84
"OM318-2",8,69111,2558737,2489627,197,77.8
"OM318-2",8,14431549,21061655,6630107,394,84.5
"OM318-2",8,32353835,44658378,12304544,227,44.1
"OM318-2",8,53448836,71997287,18548452,406,69.4
"OM318-2",8,165221837,191856779,26634943,399,71
"OM318-2",8,219460336,220476854,1016519,93,32.5
"OM331-1A",8,69111,1523603,1454493,77,49.6
"OM331-1A",8,17789340,23143681,5354342,265,70.6
"OM331-1A",8,99568653,147566053,47997401,797,83.3
"OM331-1A",8,154660874,192433306,37772433,557,81.8
"Y22F-1",8,17711166,28652281,10941116,419,81.4
"Y22F-1",8,34361248,45225723,10864476,184,44.3
"Y22F-1",8,102735432,115095776,12360345,170,62.5
"Y22F-1",8,118174024,147566053,29392030,543,83.3
"Y22F-1",8,217218417,220154563,2936147,171,61.1
"Y27M-1",8,17711166,23143681,5432516,314,64.5
"Y27M-1",8,115311942,191769588,76457647,1530,80.2
"Y28M-1",8,120273312,151427819,31154508,615,86.5
"Y28M-1",8,179385384,191813628,12428245,187,46.4
"Y28M-1",8,207192992,212978940,5785949,248,74
"Y29F-1",8,3020293,6002617,2982325,238,81.4
"Y29F-1",8,8111372,10308863,2197492,147,63.8
"Y29F-1",8,11637664,13195409,1557746,164,63.7
"Y29F-1",8,51950430,69721040,17770611,363,69.8
"Y29F-1",8,73796968,79387278,5590311,118,37.9
"Y29F-1",8,119911832,132990917,13079086,262,70
"Y29F-1",8,158221220,191249405,33028186,509,60.2
"Y29F-1",8,217236072,222360509,5124438,317,85.8
"Y30F-1",8,7089030,10308863,3219834,239,82.2
"Y30F-1",8,12040902,13195409,1154508,145,60.4
"Y30F-1",8,14928562,18072709,3144148,209,71.8
"Y30F-1",8,23057485,28652281,5594797,193,60.6
"Y30F-1",8,58605796,79387278,20781483,551,83.5
"Y30F-1",8,102155688,120091082,17935395,361,77.3
"Y30F-1",8,157657212,191331526,33674315,591,76.1
"Y30F-1",8,194157037,201944015,7786979,163,30.2
"Y30F-1",8,218076302,222360509,4284208,296,88.3
"Y31F-1",8,69111,6647626,6578516,560,94.7
"Y31F-1",8,7089030,10158736,3069707,223,78.7
"Y31F-1",8,45331055,77117097,31786043,826,90.7
"Y31F-1",8,95500112,119856127,24356016,500,85.6
"Y31F-1",8,157657212,191242702,33585491,561,67.2
"Y31F-1",8,216187698,219542204,3354507,198,56.7
"Y31F-1",8,220414670,222360509,1945840,123,75.1
"Y32F-1",8,69111,2003723,1934613,137,58.7
"Y32F-1",8,5714662,8317066,2602405,193,78.5
"Y32F-1",8,22424107,42656605,20232499,528,82.9
"Y32F-1",8,47768665,51950430,4181766,142,50.5
"Y32F-1",8,118174024,141543632,23369609,489,78.3
"Y32F-1",8,147789669,161031612,13241944,290,69.6
"E10F-1",9,50927,2267589,2216663,170,86.8
"E10F-1",9,32581529,42103054,9521526,237,67
"E10F-1",9,52414876,79984948,27570073,798,91.5
"E10F-1",9,109775298,115441567,5666270,121,53.1
"E13M-1",9,1732615,4629276,2896662,376,89.2
"E13M-1",9,7633043,10344767,2711725,175,65.2
"E13M-1",9,18124599,21610953,3486355,159,51.7
"E13M-1",9,64878318,86079794,21201477,542,87.7
"E13M-1",9,153839110,155187798,1348689,80,50.3
"E13M-1",9,156275865,159366963,3091099,157,74.7
"E14F-1",9,8438014,12135797,3697784,274,86.9
"E14F-1",9,27053699,38857716,11804018,299,79.2
"E14F-1",9,105547423,123175406,17627984,371,84.9
"E18F-1",9,28233666,45455926,17222261,461,82
"E18F-1",9,109119553,123841547,14721995,329,74.1
"E19M-2A",9,50927,2043153,1992227,136,78.2
"E19M-2A",9,18865506,30258089,11392584,344,86.1
"E19M-2A",9,35948300,41338008,5389709,121,50.3
"E19M-2A",9,63439745,79334974,15895230,417,91.6
"E19M-2A",9,84786557,138196454,53409898,1124,95
"E19M-2A",9,150977097,154373826,3396730,156,55.5
"E24M-1",9,50927,3667033,3616107,346,89.6
"E24M-1",9,59172211,96447371,37275161,959,92.8
"E24M-1",9,137809779,142582400,4772622,141,72.5
"E25F-1",9,18769895,21610953,2841059,125,32.2
"E25F-1",9,122827827,138196454,15368628,377,93
"E27M-1",9,1732615,3569905,1837291,203,73.8
"E28F-1",9,124478792,133053344,8574553,161,70
"E29M-1",9,12304061,13797175,1493115,114,64
"E29M-1",9,32581529,41698971,9117443,228,66.6
"E29M-1",9,146968518,159366963,12398446,613,92.8
"E30M-1",9,95952098,109282645,13330548,271,76.2
"E30M-1",9,154713743,156289517,1575775,115,49.5
"E31M-2",9,50927,4629276,4578350,490,93.5
"E31M-2",9,21552152,32297544,10745393,298,74.6
"E31M-2",9,94651358,104510857,9859500,238,69.7
"E32M-1",9,21552152,39935451,18383300,450,86.3
"E32M-1",9,63722424,78961522,15239099,411,82.6
"E32M-1",9,86754979,95640787,8885809,158,70.7
"E32M-1",9,98888550,119435458,20546909,403,83.3
"E32M-1",9,133086568,147234503,14147936,461,81.6
"E36F-2A",9,64878318,135907760,71029443,1554,96.5
"E36F-2A",9,155378634,159366963,3988330,200,71.4
"E37F-1",9,7633043,8796640,1163598,69,63.8
"E37F-1",9,12667056,82106721,69439666,2164,94.9
"E37F-1",9,149517195,156467361,6950167,374,84.9
"LAO01M-2A",9,2170095,4629276,2459182,339,84.1
"LAO01M-2A",9,89493982,109254184,19760203,395,75.8
"LAO01M-2A",9,146878395,153205141,6326747,277,78.9
"LAO03M-1",9,50927,1690537,1639611,105,83.3
"LAO03M-1",9,3288400,4629276,1340877,198,73.7
"LAO03M-1",9,11318821,54474700,43155880,1386,95.1
"LAO03M-1",9,58077006,152953441,94876436,2429,97.1
"LAO06M-2A",9,2897992,4629276,1731285,259,78.8
"LAO06M-2A",9,5128494,65495622,60367129,2297,97
"LAO06M-2A",9,79156590,87889103,8732514,214,76.1
"LAO06M-2A",9,105547423,114183132,8635710,174,55.5
"LAO06M-2A",9,147444469,152415890,4971422,198,52.1
"LAO06M-2A",9,155402769,157366440,1963672,119,62.3
"LO01F-1",9,19263303,24589045,5325743,190,65.3
"LO01F-1",9,123421239,131278298,7857060,150,54.8
"LO03M-1",9,7633043,10344767,2711725,176,65.6
"LO03M-1",9,62288600,83420690,21132091,585,87.2
"LO03M-1",9,141375068,147131990,5756923,211,67.1
"LO04M-1",9,50927,1979746,1928820,141,85.9
"LO04M-1",9,3288400,5083961,1795562,242,77.4
"LO04M-1",9,54852231,62220304,7368074,244,78.5
"LO04M-1",9,79156590,87889103,8732514,206,75.1
"LO04M-1",9,105547423,131278298,25730876,513,81
"LO04M-1",9,157366440,159366963,2000524,101,72.8
"OF289-2",9,50927,1979746,1928820,142,85.8
"OF289-2",9,3288400,7313142,4024743,403,83.6
"OF289-2",9,54534917,62220304,7685388,247,80.9
"OF289-2",9,79156590,87889103,8732514,203,70.9
"OF289-2",9,105547423,131278298,25730876,496,82.8
"OF304-1A",9,2177700,4611498,2433799,341,84.1
"OF304-1A",9,89493982,109282645,19788664,381,78.5
"OF304-1A",9,147418798,153205141,5786344,250,72.8
"OM258-2",9,50927,1683178,1632252,87,47.3
"OM258-2",9,4064351,7282591,3218241,231,75.3
"OM258-2",9,130090928,142163763,12072836,289,73.1
"OM258-2",9,154713743,156289517,1575775,96,32.8
"OM270-2",9,2897992,4611498,1713507,248,78.6
"OM270-2",9,89493982,113023576,23529595,468,86.7
"OM270-2",9,147418798,152412143,4993346,200,58
"OM274-3B",9,2897992,4629276,1731285,256,79.4
"OM276-1",9,50927,1690537,1639611,108,72.5
"OM276-1",9,49913029,52927347,3014319,89,51.7
"OM276-1",9,97567784,104980803,7413020,147,68.5
"OM276-1",9,124198160,129466470,5268311,99,39.4
"OM276-1",9,152354999,154368085,2013087,102,31.8
"OM279-1",9,50927,2916746,2865820,229,83.1
"OM279-1",9,95495980,104946294,9450315,200,71.4
"OM279-1",9,124198160,129808719,5610560,95,34.8
"OM279-1",9,141464861,149793662,8328802,281,76.4
"OM283-2",9,3288400,12032535,8744136,745,91.8
"OM283-2",9,65065766,116905638,51839873,1152,94.7
"OM283-2",9,130090928,136447482,6356555,185,69.6
"OM283-2",9,143824616,147418798,3594183,127,51.2
"OM290-2",9,50927,1690537,1639611,108,73
"OM290-2",9,4064351,4844349,779999,94,34.7
"OM290-2",9,7087537,9653552,2566016,168,58.6
"OM290-2",9,19119490,58195960,39076471,1094,94.8
"OM290-2",9,63920941,70560256,6639316,199,68.9
"OM290-2",9,79156590,139029587,59872998,1279,93.5
"OM292-2",9,50927,1690537,1639611,106,70.5
"OM292-2",9,9792639,58186525,48393887,1564,96.1
"OM292-2",9,63920941,70560256,6639316,193,70.4
"OM292-2",9,79513170,141395583,61882414,1292,91.3
"OM301-1A",9,89493982,131278298,41784317,843,86.7
"OM301-1A",9,146878395,152415890,5537496,218,50.7
"OM301-1A",9,155052227,158367792,3315566,191,69
"OM318-2",9,50927,5104297,5053371,532,93.7
"OM318-2",9,12054485,14522743,2468259,154,70.3
"OM318-2",9,50957449,54962127,4004679,99,57.3
"OM318-2",9,141109519,154373826,13264308,509,86.8
"OM331-1A",9,17292240,40577650,23285411,558,87.8
"Y22F-1",9,32581529,41701219,9119691,208,63.2
"Y22F-1",9,155052227,156422317,1370091,77,32.7
"Y27M-1",9,17227631,40509622,23281992,703,88.9
"Y28M-1",9,5263390,10249324,4985935,356,86.3
"Y28M-1",9,32581529,40509622,7928094,193,58.1
"Y28M-1",9,117612330,139676995,22064666,530,82.6
"Y28M-1",9,155378634,158367792,2989159,185,62.2
"Y29F-1",9,19025901,80751255,61725355,1629,93.7
"Y29F-1",9,112533703,117800067,5266365,107,43
"Y29F-1",9,134129063,137730707,3601645,118,62.4
"Y29F-1",9,150961994,156422317,5460324,285,77.1
"Y30F-1",9,10280240,11998761,1718522,136,51.2
"Y31F-1",9,5550812,8668916,3118105,210,76.7
"Y31F-1",9,10280240,11998761,1718522,125,43.2
"Y32F-1",9,4580537,8950936,4370400,315,78.2
"Y32F-1",9,13692098,17738455,4046358,171,71.1
"Y32F-1",9,40407528,45455926,5048399,166,61
"Y32F-1",9,86153737,95218164,9064428,164,57.1
"E10F-1",10,14773891,27917329,13143439,291,73.6
"E10F-1",10,35627962,59631654,24003693,787,89.9
"E10F-1",10,130134312,154650517,24516206,823,94.1
"E13M-1",10,78641780,94067282,15425503,640,93
"E13M-1",10,143101744,146885233,3783490,158,70.8
"E14F-1",10,8390552,35219405,26828854,927,93.3
"E14F-1",10,82113280,85920180,3806901,112,56.4
"E14F-1",10,115726804,144609527,28882724,607,85.5
"E18F-1",10,26423469,31384158,4960690,168,48.9
"E19M-2A",10,8889082,10929851,2040770,153,67.6
"E19M-2A",10,87412178,104628515,17216338,400,85.3
"E24M-1",10,3000600,4078016,1077417,101,45.3
"E24M-1",10,11930819,22546547,10615729,202,47.7
"E24M-1",10,48436126,56278513,7842388,203,51.8
"E24M-1",10,108166227,118984003,10817777,275,80.9
"E24M-1",10,122190445,135524888,13334444,249,73.8
"E25F-1",10,3160479,8957970,5797492,490,90.6
"E25F-1",10,27690616,34219459,6528844,178,70.6
"E25F-1",10,78559707,88106820,9547114,460,88.5
"E25F-1",10,94290388,107744547,13454160,287,78
"E27M-1",10,81466266,104715918,23249653,542,90.9
"E27M-1",10,145285126,148094871,2809746,150,60.7
"E27M-1",10,149049685,154646075,5596391,261,91
"E28F-1",10,35627962,53407293,17779332,568,86.8
"E29M-1",10,6052476,11001702,4949227,415,85.9
"E29M-1",10,35259985,53407293,18147309,611,86.5
"E29M-1",10,86074093,95681570,9607478,287,83.7
"E30M-1",10,93424,2252190,2158767,125,61.3
"E30M-1",10,8889082,10929851,2040770,155,69.5
"E31M-2",10,11061807,18065081,7003275,180,32.3
"E31M-2",10,95508972,107744547,12235576,277,78.2
"E32M-1",10,93424,2358540,2265117,125,58.7
"E32M-1",10,9645348,11236549,1591202,130,59.9
"E32M-1",10,11797595,22546547,10748953,198,44.1
"E32M-1",10,35627962,53407293,17779332,576,83.7
"E33M-1",10,144276947,149013381,4736435,214,73.6
"E34M-2A",10,14773891,25874634,11100744,198,63.6
"E34M-2A",10,34219459,126930715,92711257,3211,97.4
"E35M-2A",10,135186502,140647761,5461260,132,52
"E36F-2A",10,93424,3275417,3181994,184,81.6
"E36F-2A",10,11187406,25562448,14375043,284,65.8
"E36F-2A",10,134663773,146723480,12059708,335,89.4
"E37F-1",10,93424,4912670,4819247,356,92.3
"LAO01M-2A",10,1153429,10595157,9441729,768,91
"LAO01M-2A",10,27566174,32560770,4994597,138,31.6
"LAO01M-2A",10,52752605,77209799,24457195,1028,92.2
"LAO03M-1",10,3945732,5253426,1307695,120,59.4
"LAO03M-1",10,27690616,32528200,4837585,127,30.8
"LAO03M-1",10,58449246,115349975,56900730,2049,96
"LAO03M-1",10,148655579,154650517,5994939,300,92.5
"LAO06M-2A",10,5263230,12079438,6816209,540,88
"LAO06M-2A",10,13695401,48925675,35230275,1063,89
"LAO06M-2A",10,51442880,111332600,59889721,2187,94.8
"LAO06M-2A",10,116758626,122380904,5622279,132,54
"LAO06M-2A",10,128064019,142682749,14618731,303,78.7
"LO01F-1",10,34219459,35292590,1073132,98,34.6
"LO01F-1",10,51065848,60012009,8946162,261,59.2
"LO01F-1",10,143101744,147424266,4322523,192,71.5
"LO03M-1",10,35627962,39535579,3907618,146,53.7
"LO04M-1",10,3440335,4680006,1239672,110,53.4
"LO04M-1",10,6004954,12079438,6074485,474,87.5
"LO04M-1",10,13695401,26364119,12668719,253,56.6
"LO04M-1",10,28023242,34916424,6893183,228,72.7
"LO04M-1",10,40398682,48925675,8526994,254,69.9
"LO04M-1",10,51442880,58403834,6960955,194,46.8
"LO04M-1",10,116758626,127650676,10892051,235,76.7
"LO04M-1",10,145285126,146723480,1438355,89,53.8
"LO04M-1",10,149103443,151191701,2088259,122,31.3
"OF289-2",10,1981846,3916982,1935137,146,62.3
"OF289-2",10,6004954,12144958,6140005,475,89.1
"OF289-2",10,13695401,26364119,12668719,237,49.8
"OF289-2",10,27566174,34916424,7350251,235,69
"OF289-2",10,92817013,116598223,23781211,541,89.1
"OF289-2",10,150340485,154650517,4310033,185,72.3
"OF304-1A",10,27566174,32560770,4994597,136,30.4
"OF304-1A",10,82002658,92999223,10996566,335,76.7
"OF304-1A",10,98027415,106471593,8444179,182,64.6
"OM258-2",10,81988624,114762721,32774098,675,83.7
"OM258-2",10,134366949,154646075,20279127,643,95.9
"OM270-2",10,3945732,5253426,1307695,121,59.1
"OM270-2",10,149103443,151191701,2088259,119,31.6
"OM274-3B",10,13620186,26364119,12743934,252,55.3
"OM274-3B",10,150191092,153502250,3311159,167,56.7
"OM276-1",10,27324180,35511922,8187743,312,81.1
"OM276-1",10,58494894,63690184,5195291,165,46.3
"OM276-1",10,71768782,75975528,4206747,234,80.1
"OM279-1",10,58494894,79662910,21168017,968,89.8
"OM283-2",10,25913107,35066382,9153276,333,84.9
"OM283-2",10,39450788,47973077,8522290,296,84.1
"OM283-2",10,81315520,135711059,54395540,1297,96
"OM290-2",10,22125302,40136112,18010811,625,89.9
"OM290-2",10,51270850,60788784,9517935,273,67.9
"OM290-2",10,76746740,90501368,13754629,632,85.9
"OM290-2",10,92817013,100180884,7363872,134,56.3
"OM292-2",10,22074777,35499040,13424264,425,86.3
"OM292-2",10,45602175,51065848,5463674,128,61.1
"OM292-2",10,92817013,130203445,37386433,770,91.7
"OM292-2",10,133029838,145034301,12004464,246,78.1
"OM301-1A",10,27566174,32635466,5069293,139,31.2
"OM301-1A",10,65159886,75802840,10642955,498,87.2
"OM301-1A",10,76746740,90501368,13754629,651,92.1
"OM301-1A",10,96194446,111332600,15138155,342,77.8
"OM301-1A",10,116343623,141377046,25033424,510,86.2
"OM301-1A",10,150340485,153523341,3182857,162,49.4
"OM318-2",10,1981846,5662501,3680656,309,84.8
"OM318-2",10,12292608,19090567,6797960,127,38.6
"OM318-2",10,28023242,34916424,6893183,216,66.7
"OM318-2",10,135881290,152580680,16699391,634,91
"OM331-1A",10,14773891,61286963,46513073,1218,92
"OM331-1A",10,115726804,149075871,33349068,729,90.4
"OM331-1A",10,151310593,154650517,3339925,125,81.7
"Y22F-1",10,93424,2270467,2177044,116,53.3
"Y22F-1",10,95267351,124357338,29089988,596,91.4
"Y22F-1",10,144365443,149980133,5614691,294,83.3
"Y27M-1",10,8628332,10689394,2061063,174,66.9
"Y27M-1",10,16856873,58403834,41546962,1289,91.4
"Y27M-1",10,131095372,149075871,17980500,547,87
"Y27M-1",10,149270765,154650517,5379753,266,86.2
"Y28M-1",10,30401326,49199629,18798304,679,89.5
"Y28M-1",10,86074093,108399778,22325686,586,89.8
"Y28M-1",10,125598790,142020179,16421390,329,81.4
"Y28M-1",10,149980133,154650517,4670385,213,74.1
"Y29F-1",10,93424,2003077,1909654,102,76.9
"Y29F-1",10,10777582,25951155,15173574,304,64.8
"Y29F-1",10,26248838,33755146,7506309,213,56.7
"Y29F-1",10,65035645,67316455,2280811,107,30.9
"Y29F-1",10,82889789,87319475,4429687,117,38.1
"Y29F-1",10,96194446,104129276,7934831,137,65
"Y29F-1",10,144365443,154646075,10280633,512,95
"Y30F-1",10,10777582,24189752,13412171,297,75.7
"Y30F-1",10,112093629,143678177,31584549,681,91.7
"Y32F-1",10,6866541,8438548,1572008,132,43.2
"Y32F-1",10,125598790,154650517,29051728,946,95.7
"E10F-1",11,20426988,98665957,78238970,1920,94.8
"E13M-1",11,682287,5242436,4560150,370,88.5
"E13M-1",11,72843823,78956636,6112814,154,65.7
"E13M-1",11,113299260,114684152,1384893,168,71.8
"E14F-1",11,24173804,84778021,60604218,1331,96.7
"E14F-1",11,114874472,116944018,2069547,162,85.3
"E18F-1",11,16390219,18658542,2268324,139,44
"E18F-1",11,97849544,108943070,11093527,517,89.5
"E18F-1",11,112901813,114717465,1815653,228,85
"E19M-2A",11,54151218,60559544,6408327,115,70.7
"E19M-2A",11,113299260,114684152,1384893,146,67.9
"E24M-1",11,1648486,2859452,1210967,153,61.8
"E24M-1",11,102744252,111676902,8932651,415,85.5
"E25F-1",11,20488244,25814938,5326695,244,72.7
"E25F-1",11,91303561,102695540,11391980,381,83.9
"E28F-1",11,13888976,20173867,6284892,379,82.5
"E28F-1",11,98687005,108943070,10256066,407,82.6
"E29M-1",11,39460845,50574403,11113559,229,32.2
"E29M-1",11,71829027,103480474,31651448,976,90.5
"E30M-1",11,103052788,109249584,6196797,288,76.2
"E31M-2",11,29594760,46268080,16673321,312,77
"E31M-2",11,83321948,103856638,20534691,709,91.7
"E32M-1",11,40408361,71567760,31159400,565,88
"E32M-1",11,91303561,98665957,7362397,252,72.1
"E32M-1",11,103052788,106617801,3565014,124,32.3
"E32M-1",11,115728646,116944018,1215373,78,50.8
"E33M-1",11,18751570,22439094,3687525,145,55.1
"E33M-1",11,113849764,114664540,814777,88,46.3
"E34M-2A",11,7713725,9830516,2116792,103,34
